iter	Passed	Remaining
517	714	665
518	716	664
519	717	662
520	719	661
521	720	659
522	721	657
523	722	656
524	723	654
525	724	653
526	727	652
527	728	651
528	729	649
529	730	648
530	732	646
531	733	645
532	734	643
533	735	642
534	737	640
535	738	639
536	739	637
537	740	636
538	741	634
539	742	632
540	744	631
541	745	629
542	746	628
543	748	627
544	749	625
545	750	624
546	754	624
547	755	623
548	756	621
549	757	619
550	758	618
551	759	616
552	761	615
553	762	613
554	763	612
555	765	611
556	766	609
557	767	607
558	768	606
559	769	604
560	770	603
561	771	601
562	772	599
563	773	598
564	775	596
565	777	596
566	778	594
567	779	593
568	781	591
569	782	590
570	783	588
571	784	587
572	785	585
573	786	584
574	788	582
575	789	580
576	790	579
577	791	577
578	793	576
579	794	575
580	795	573
581	796	572
582	797	570
583	799	569
584	800	567
585	801	566
586	802	564
587	803	563
588	805	561
589	806	560
590	808	559
591	809	557
592	810	556
593	811	554
594	812	553
595	813	551
596	814	549
597	815	548
598	816	546
599	817	545
600	819	543
601	821	543
602	822	541
603	823	540
604	824	538
605	825	536
606	827	535
607	828	533
608	829	532
609	830	530
610	831	529
611	833	528
612	834	526
613	836	525
614	837	524
615	838	522
616	840	521
617	841	519
618	842	518
619	843	517
620	844	515
621	845	514
622	847	512
623	848	511
624	850	510
625	851	508
626	852	507
627	853	505
628	854	504
629	855	502
630	856	500
631	857	499
632	858	497
633	859	496
634	860	494
635	861	492
636	862	491
637	863	489
638	864	488
639	865	487
640	866	485
641	867	484
642	868	482
643	869	480
644	870	479
645	871	477
646	872	476
647	873	474
648	874	473
649	875	471
650	877	470
651	879	469
652	882	469
653	883	467
654	885	466
655	887	465
656	889	464
657	891	463
658	893	462
659	894	460
660	895	459
661	898	458
662	899	457
663	902	456
664	903	455
665	904	453
666	905	452
667	906	450
668	907	449
669	908	447
670	909	446
671	910	444
672	911	443
673	912	441
674	913	439
675	914	438
676	915	436
677	916	435
678	917	433
679	918	432
680	919	430
681	920	429
682	921	427
683	922	426
684	923	424
685	924	423
686	925	421
687	926	420
688	927	418
689	928	417
690	929	415
691	930	414
692	932	412
693	933	411
694	934	410
695	935	408
696	936	407
697	937	405
698	939	404
699	940	402
700	941	401
701	942	399
702	943	398
703	944	397
704	945	395
705	946	393
706	947	392
707	948	391
708	949	389
709	950	388
710	950	386
711	951	385
712	952	383
713	954	382
714	955	380
715	956	379
716	957	377
717	958	376
718	959	374
719	960	373
720	961	371
721	962	370
722	963	368
723	964	367
724	965	366
725	966	364
726	967	363
727	968	361
728	969	360
729	970	358
730	971	357
731	972	355
732	973	354
733	974	353
734	975	351
735	976	350
736	977	348
737	978	347
738	979	345
739	980	344
740	981	342
741	982	341
742	983	340
743	984	338
744	985	337
745	986	335
746	987	334
747	988	332
748	989	331
749	990	330
750	991	328
751	992	327
752	992	325
753	993	324
754	994	322
755	995	321
756	996	319
757	997	318
758	998	317
759	999	315
760	1000	314
761	1001	312
762	1002	311
763	1003	310
764	1004	308
765	1005	307
766	1006	305
767	1007	304
768	1008	302
769	1009	301
770	1010	300
771	1011	298
772	1012	297
773	1013	295
774	1014	294
775	1015	293
776	1016	291
777	1016	290
778	1017	288
779	1018	287
780	1020	286
781	1021	284
782	1022	283
783	1023	281
784	1024	280
785	1024	279
786	1025	277
787	1026	276
788	1027	274
789	1028	273
790	1029	272
791	1030	270
792	1031	269
793	1032	268
794	1034	266
795	1035	265
796	1037	264
797	1038	262
798	1039	261
799	1040	260
800	1041	258
801	1042	257
802	1043	256
803	1044	254
804	1045	253
805	1046	251
806	1047	250
807	1048	249
808	1049	247
809	1050	246
810	1051	245
811	1052	243
812	1053	242
813	1054	240
814	1055	239
815	1056	238
816	1057	236
817	1058	235
818	1059	234
819	1060	232
820	1061	231
821	1062	230
822	1063	228
823	1064	227
824	1065	226
825	1066	224
826	1067	223
827	1068	222
828	1069	220
829	1070	219
830	1071	217
831	1072	216
832	1074	215
833	1075	213
834	1076	212
835	1077	211
836	1078	209
837	1079	208
838	1080	207
839	1081	205
840	1081	204
841	1083	203
842	1084	201
843	1085	200
844	1086	199
845	1087	197
846	1088	196
847	1089	195
848	1090	193
849	1091	192
850	1092	191
851	1093	189
852	1094	188
853	1095	187
854	1096	185
855	1097	184
856	1098	183
857	1099	181
858	1099	180
859	1100	179
860	1101	177
861	1102	176
862	1103	175
863	1104	173
864	1105	172
865	1106	171
866	1107	169
867	1107	168
868	1108	167
869	1109	165
870	1110	164
871	1111	163
872	1112	161
873	1113	160
874	1114	159
875	1115	157
876	1115	156
877	1117	155
878	1117	153
879	1118	152
880	1119	151
881	1120	149
882	1121	148
883	1122	147
884	1123	145
885	1123	144
886	1124	143
887	1125	141
888	1126	140
889	1127	139
890	1128	138
891	1129	136
892	1129	135
893	1131	134
894	1132	132
895	1133	131
896	1134	130
897	1134	128
898	1135	127
899	1136	126
900	1137	124
901	1138	123
902	1139	122
903	1140	121
904	1141	119
905	1141	118
906	1142	117
907	1143	115
908	1144	114
909	1145	113
910	1146	111
911	1147	110
912	1148	109
913	1148	108
914	1149	106
915	1150	105
916	1151	104
917	1152	102
918	1153	101
919	1154	100
920	1155	99
921	1156	97
922	1157	96
923	1157	95
924	1158	93
925	1159	92
926	1160	91
927	1161	90
928	1162	88
929	1163	87
930	1164	86
931	1165	85
932	1166	83
933	1166	82
934	1167	81
935	1168	79
936	1169	78
937	1170	77
938	1171	76
939	1172	74
940	1172	73
941	1173	72
942	1174	71
943	1175	69
944	1176	68
945	1177	67
946	1178	65
947	1179	64
948	1180	63
949	1181	62
950	1181	60
951	1182	59
952	1183	58
953	1184	57
954	1185	55
955	1186	54
956	1187	53
957	1188	52
958	1189	50
959	1190	49
960	1191	48
961	1193	47
962	1194	45
963	1196	44
964	1197	43
965	1198	42
966	1199	40
967	1200	39
968	1202	38
969	1203	37
970	1205	35
971	1206	34
972	1207	33
973	1209	32
974	1210	31
975	1211	29
976	1212	28
977	1213	27
978	1214	26
979	1216	24
980	1217	23
981	1218	22
982	1219	21
983	1220	19
984	1222	18
985	1224	17
986	1225	16
987	1226	14
988	1227	13
989	1229	12
990	1230	11
991	1231	9
992	1232	8
993	1234	7
994	1235	6
995	1237	4
996	1238	3
997	1239	2
998	1240	1
999	1242	0
